family,width_cm,height_cm,qty,is_anchor,catalog_price,engine_price,delta_pct,rule
"מדבקות","30","20","1","0","95","20","-78.9","sheet"
"מדבקות","6","6","1000","0","485","420","-13.4","anchor"
"מדבקות","4","4","1000","0","330","370","12.1","anchor"
"מדבקות","5","9","1000","0","420","470","11.9","anchor"
"מדבקות","5","5","1000","0","345","385","11.6","anchor"
"מדבקות","5","8","1000","0","345","385","11.6","anchor"
"מדבקות","3","3","1000","0","315","350","11.1","anchor"
"מדבקות","80","60","1","0","105","95","-9.5","large_format"
"מדבקות","7","7","1000","0","495","450","-9.1","anchor"
"מדבקות","8","8","1000","0","495","450","-9.1","anchor"
"מדבקות","6","6","500","0","270","250","-7.4","anchor"
"מדבקות","9","9","1000","0","505","470","-6.9","anchor"
"מדבקות","17","17","80","0","270","287","6.3","package_min"
"מדבקות","70","50","1","1","100","95","-5.0","large_format"
"מדבקות","100","100","1","0","120","125","4.2","large_format"
"מדבקות","16","6","1000","0","590","570","-3.4","anchor"
"מדבקות","10","10","1000","0","590","570","-3.4","anchor"
"מדבקות","24","6","1000","0","590","570","-3.4","anchor"
"מדבקות","10","15","1000","0","590","570","-3.4","anchor"
"מדבקות","6","6","250","0","178","175","-1.7","anchor"
"מדבקות","3","3","150","1","122","120","-1.6","anchor"
"מדבקות","4","4","150","1","128","130","1.6","anchor"
"מדבקות","16","6","500","0","340","345","1.5","anchor"
"מדבקות","10","10","500","0","340","345","1.5","anchor"
"מדבקות","24","6","500","0","340","345","1.5","anchor"
"מדבקות","10","15","500","0","340","345","1.5","anchor"
"מדבקות","5","5","200","0","147","145","-1.4","anchor"
"מדבקות","5","8","200","0","147","145","-1.4","anchor"
"מדבקות","7","7","150","0","157","155","-1.3","anchor"
"מדבקות","8","8","150","0","157","155","-1.3","anchor"
"מדבקות","5","5","250","0","163","165","1.2","anchor"
"מדבקות","5","8","250","0","163","165","1.2","anchor"
"מדבקות","5","9","150","0","163","165","1.2","anchor"
"מדבקות","9","9","150","0","163","165","1.2","anchor"
"מדבקות","7","7","200","0","172","170","-1.2","anchor"
"מדבקות","8","8","200","0","172","170","-1.2","anchor"
"מדבקות","7","7","250","0","192","190","-1.0","anchor"
"מדבקות","8","8","250","0","192","190","-1.0","anchor"
"מדבקות","16","6","150","0","198","200","1.0","anchor"
"מדבקות","10","10","150","0","198","200","1.0","anchor"
"מדבקות","24","6","150","0","198","200","1.0","anchor"
"מדבקות","10","15","150","0","198","200","1.0","anchor"
"מדבקות","16","6","200","0","217","215","-0.9","anchor"
"מדבקות","10","10","200","0","217","215","-0.9","anchor"
"מדבקות","24","6","200","0","217","215","-0.9","anchor"
"מדבקות","10","15","200","0","217","215","-0.9","anchor"
"מדבקות","16","6","250","0","242","240","-0.8","anchor"
"מדבקות","10","10","250","0","242","240","-0.8","anchor"
"מדבקות","24","6","250","0","242","240","-0.8","anchor"
"מדבקות","10","15","250","0","242","240","-0.8","anchor"
"מדבקות","3","3","200","1","134","135","0.7","anchor"
"מדבקות","5","5","150","1","134","135","0.7","anchor"
"מדבקות","5","8","150","0","134","135","0.7","anchor"
"מדבקות","6","6","150","0","146","145","-0.7","anchor"
"מדבקות","4","4","250","0","156","155","-0.6","anchor"
"מדבקות","5","9","200","0","179","180","0.6","anchor"
"מדבקות","9","9","200","0","179","180","0.6","anchor"
"מדבקות","5","9","250","0","199","200","0.5","anchor"
"מדבקות","9","9","250","0","199","200","0.5","anchor"
"מדבקות","3","3","100","1","115","115","0.0","anchor"
"מדבקות","3","3","250","0","150","150","0.0","anchor"
"מדבקות","3","3","500","0","210","210","0.0","anchor"
"מדבקות","4","4","100","1","121","121","0.0","anchor"
"מדבקות","4","4","200","0","140","140","0.0","anchor"
"מדבקות","4","4","500","0","220","220","0.0","anchor"
"מדבקות","5","5","100","1","126","126","0.0","anchor"
"מדבקות","5","5","500","0","230","230","0.0","anchor"
"מדבקות","6","6","100","0","137","137","0.0","anchor"
"מדבקות","6","6","200","0","160","160","0.0","anchor"
"מדבקות","5","8","100","0","126","126","0.0","anchor"
"מדבקות","5","8","500","0","230","230","0.0","anchor"
"מדבקות","5","9","100","0","154","154","0.0","anchor"
"מדבקות","5","9","500","0","280","280","0.0","anchor"
"מדבקות","7","7","100","0","148","148","0.0","anchor"
"מדבקות","7","7","500","0","270","270","0.0","anchor"
"מדבקות","8","8","100","0","148","148","0.0","anchor"
"מדבקות","8","8","500","0","270","270","0.0","anchor"
"מדבקות","9","9","100","1","154","154","0.0","anchor"
"מדבקות","9","9","500","0","280","280","0.0","anchor"
"מדבקות","16","6","100","0","187","187","0.0","anchor"
"מדבקות","10","10","100","0","187","187","0.0","anchor"
"מדבקות","24","6","100","0","187","187","0.0","anchor"
"מדבקות","10","15","100","0","187","187","0.0","anchor"
"מדבקות","56","17","1","0","95","95","0.0","large_format"
"מדבקות","70","20","1","0","95","95","0.0","large_format"
