row_key,name,family,width_cm,height_cm,qty,current_price,current_source,engine_name,engine_price,binding_rule,target_price,target_source,delta_current_pct,delta_target_pct,flag,notes
כרטיסי ביקור 10.000 יחי,כרטיסי ביקור 10.000 יחי,כרטיסי ביקור,,,0,2320,senzey_price,,,,,,,,NO_ENGINE,
כרטיסי ביקור 20.000 יחי,כרטיסי ביקור 20.000 יחי,כרטיסי ביקור,,,0,4639,senzey_price,,,,,,,,NO_ENGINE,
130 גרם נייר A5,130 גרם נייר A5,אחר,,,1,2,senzey_price,,,,,,,,NO_ENGINE,
דף A3 צבעוני 80 גר,דף A3 צבעוני 80 גר,אחר,,,1,5,senzey_price,,,,,,,,NO_ENGINE,
הדבקה,הדבקה,אחר,,,1,806.84,senzey_price,,,,,,,,NO_ENGINE,
הדפסה A4 תפריטים,הדפסה A4 תפריטים,אחר,,,1,7,senzey_price,,,,,,,,NO_ENGINE,
הדפסה חוברת סיכות A4 נייר 80 גר 50 דפים,הדפסה חוברת סיכות A4 נייר 80 גר 50 דפים,אחר,,,1,100,site_price,,,,,,,,NO_ENGINE,
הדפסה חוברת ספירלה A4 נייר 80 גר 100 דפים,הדפסה חוברת ספירלה A4 נייר 80 גר 100 דפים,אחר,,,1,175,senzey_price,,,,,,,,NO_ENGINE,
הדפסה חוברת ספירלה A4 נייר 80 גר 200 דפים,הדפסה חוברת ספירלה A4 נייר 80 גר 200 דפים,אחר,,,1,325,senzey_price,,,,,,,,NO_ENGINE,
הדפסה חוברת ספירלה A4 נייר 80 גר 50 דפים,הדפסה חוברת ספירלה A4 נייר 80 גר 50 דפים,אחר,,,1,100,senzey_price,,,,,,,,NO_ENGINE,
הוספת טבעות,הוספת טבעות,אחר,,,1,22.19,senzey_price,,,,,,,,NO_ENGINE,
הנחה,הנחה,אחר,,,1,50.43,senzey_price,,,,,,,,NO_ENGINE,
התקנה,התקנה,אחר,,,1,,,,,,,,,,NO_ENGINE,
new-engraving,חריטת שלטים,אחר,,,1,,,,,,,,,,NO_ENGINE,
כללי,כללי,אחר,,,1,0,site_price,,,,,,,,NO_ENGINE,
מוצרי דפוס,מוצרי דפוס,אחר,,,1,,,,,,,,,,NO_ENGINE,
מזגרד,מזגרד,אחר,,,1,,,,,,,,,,NO_ENGINE,
משלוח,משלוח,אחר,,,1,49,senzey_price,,,,,,,,NO_ENGINE,
סיכות,סיכות,אחר,,,1,25.21,senzey_price,,,,,,,,NO_ENGINE,
עבודה,עבודה,אחר,,,1,200,senzey_price,,,,,,,,NO_ENGINE,
פוסטר נייר A3,פוסטר נייר A3,אחר,,,1,12,senzey_price,,,,,,,,NO_ENGINE,
פוסטר נייר A4,פוסטר נייר A4,אחר,,,1,10,senzey_price,,,,,,,,NO_ENGINE,
צילום,צילום,אחר,,,1,0,senzey_price,,,,,,,,NO_ENGINE,
צילום בית הכנסת,צילום בית הכנסת,אחר,,,1,600,senzey_price,,,,,,,,NO_ENGINE,
שירות עיצוב גרפי,שירות עיצוב גרפי,אחר,,,1,100,site_price,,,,,,,,NO_ENGINE,
שירות עיצוב גרפי לאלבום דיגיטלי,שירות עיצוב גרפי לאלבום דיגיטלי,אחר,,,1,300,site_price,,,,,,,,NO_ENGINE,
שירות עיצוב גרפי לפולדרים,שירות עיצוב גרפי לפולדרים,אחר,,,1,120,site_price,,,,,,,,NO_ENGINE,
שקית 1 ליטר צהוב ES3 ECO,שקית 1 ליטר צהוב ES3 ECO,אחר,,,1,129.8,senzey_price,,,,,,,,NO_ENGINE,
new-eng-plans,"תוכניות הנדסיות — 54 ₪/מ""ר",אחר,,,1,,,,,,,,,,NO_ENGINE,
תיקון דף באלבום,תיקון דף באלבום,אחר,,,1,,,,,,,,,,NO_ENGINE,
אלבום,אלבום,אלבומים,,,1,81,senzey_price,,,,,,,,NO_ENGINE,
אלבום דיגיטלי 12 תמונות,אלבום דיגיטלי 12 תמונות,אלבומים,,,1,116,senzey_price,,,,,,,,NO_ENGINE,
גראפיקה,גראפיקה,גרפיקה,,,1,,,,,,,,,,NO_ENGINE,
גרפיקה,גרפיקה,גרפיקה,,,1,100,senzey_price,,,,,,,,NO_ENGINE,
"10 בלוקים הדפסה צבעוני 100 דפים A5,","10 בלוקים הדפסה צבעוני 100 דפים A5,",דפים,,,1,557,senzey_price,,,,,,,,NO_ENGINE,
10 בלוקים הדפסה צבעונית 100 דפים,10 בלוקים הדפסה צבעונית 100 דפים,דפים,,,1,696,senzey_price,,,,,,,,NO_ENGINE,
10 בלוקים הדפסה שחור לבן 100 דפים A4,10 בלוקים הדפסה שחור לבן 100 דפים A4,דפים,,,1,464,senzey_price,,,,,,,,NO_ENGINE,
