family,width_cm,height_cm,qty,is_anchor,site_price,new_price,change,delta_pct,cost,below_cost,rule
"מדבקות","30","20","1","0","95","20","lower","-78.9","2.80","","sheet"
"מדבקות","56","17","1","0","95","20","lower","-78.9","0.57","","large_format"
"מדבקות","70","20","1","0","95","20","lower","-78.9","0.84","","large_format"
"מדבקות","70","50","1","1","100","33","lower","-67.0","2.10","","large_format"
"מדבקות","80","60","1","0","105","46","lower","-56.2","2.88","","large_format"
"מדבקות","10","15","1000","0","590","910","raise","54.2","700.00","YES","cost_floor"
"מדבקות","10","15","500","0","340","455","raise","33.8","350.00","YES","cost_floor"
"מדבקות","120","80","1","0","120","91","lower","-24.2","5.76","","large_format"
"מדבקות","100","100","1","0","120","95","lower","-20.8","6.00","","large_format"
"מדבקות","6","6","1000","0","485","420","lower","-13.4","100.80","","anchor"
"מדבקות","4","4","1000","0","330","370","raise","12.1","47.60","","anchor"
"מדבקות","5","9","1000","0","420","470","raise","11.9","117.60","","anchor"
"מדבקות","5","5","1000","0","345","385","raise","11.6","95.20","","anchor"
"מדבקות","5","8","1000","0","345","385","raise","11.6","112.00","","anchor"
"מדבקות","3","3","1000","0","315","350","raise","11.1","28.00","","anchor"
"מדבקות","7","7","1000","0","495","450","lower","-9.1","117.60","","anchor"
"מדבקות","8","8","1000","0","495","450","lower","-9.1","187.60","","anchor"
"מדבקות","6","6","500","0","270","250","lower","-7.4","50.40","","anchor"
"מדבקות","9","9","1000","0","505","470","lower","-6.9","235.20","","anchor"
"מדבקות","17","17","80","0","270","287","raise","6.3","112.00","","package_min"
"מדבקות","16","6","1000","0","590","570","lower","-3.4","350.00","","anchor"
"מדבקות","10","10","1000","0","590","570","lower","-3.4","350.00","","anchor"
"מדבקות","24","6","1000","0","590","570","lower","-3.4","400.40","","anchor"
"מדבקות","130","130","1","0","155","160","raise","3.2","10.14","","large_format"
"מדבקות","140","140","1","1","180","185","raise","2.8","11.76","","large_format"
"מדבקות","6","6","250","0","178","175","lower","-1.7","25.20","","anchor"
"מדבקות","3","3","150","1","122","120","lower","-1.6","5.60","","anchor"
"מדבקות","4","4","150","1","128","130","raise","1.6","8.40","","anchor"
"מדבקות","16","6","500","0","340","345","raise","1.5","176.40","","anchor"
"מדבקות","10","10","500","0","340","345","raise","1.5","176.40","","anchor"
"מדבקות","24","6","500","0","340","345","raise","1.5","201.60","","anchor"
"מדבקות","5","5","200","0","147","145","lower","-1.4","19.60","","anchor"
"מדבקות","5","8","200","0","147","145","lower","-1.4","22.40","","anchor"
"מדבקות","7","7","150","0","157","155","lower","-1.3","19.60","","anchor"
"מדבקות","8","8","150","0","157","155","lower","-1.3","28.00","","anchor"
"מדבקות","5","5","250","0","163","165","raise","1.2","25.20","","anchor"
"מדבקות","5","8","250","0","163","165","raise","1.2","28.00","","anchor"
"מדבקות","5","9","150","0","163","165","raise","1.2","19.60","","anchor"
"מדבקות","9","9","150","0","163","165","raise","1.2","36.40","","anchor"
"מדבקות","7","7","200","0","172","170","lower","-1.2","25.20","","anchor"
"מדבקות","8","8","200","0","172","170","lower","-1.2","39.20","","anchor"
"מדבקות","7","7","250","0","192","190","lower","-1.0","30.80","","anchor"
"מדבקות","8","8","250","0","192","190","lower","-1.0","47.60","","anchor"
"מדבקות","16","6","150","0","198","200","raise","1.0","53.20","","anchor"
"מדבקות","10","10","150","0","198","200","raise","1.0","53.20","","anchor"
"מדבקות","24","6","150","0","198","200","raise","1.0","61.60","","anchor"
"מדבקות","10","15","150","0","198","200","raise","1.0","106.40","","anchor"
"מדבקות","16","6","200","0","217","215","lower","-0.9","70.00","","anchor"
"מדבקות","10","10","200","0","217","215","lower","-0.9","70.00","","anchor"
"מדבקות","24","6","200","0","217","215","lower","-0.9","81.20","","anchor"
"מדבקות","10","15","200","0","217","215","lower","-0.9","140.00","","anchor"
"מדבקות","16","6","250","0","242","240","lower","-0.8","89.60","","anchor"
"מדבקות","10","10","250","0","242","240","lower","-0.8","89.60","","anchor"
"מדבקות","24","6","250","0","242","240","lower","-0.8","100.80","","anchor"
"מדבקות","10","15","250","0","242","240","lower","-0.8","176.40","","anchor"
"מדבקות","3","3","200","1","134","135","raise","0.7","5.60","","anchor"
"מדבקות","5","5","150","1","134","135","raise","0.7","14.00","","anchor"
"מדבקות","5","8","150","0","134","135","raise","0.7","16.80","","anchor"
"מדבקות","6","6","150","0","146","145","lower","-0.7","16.80","","anchor"
"מדבקות","4","4","250","0","156","155","lower","-0.6","14.00","","anchor"
"מדבקות","5","9","200","0","179","180","raise","0.6","25.20","","anchor"
"מדבקות","9","9","200","0","179","180","raise","0.6","47.60","","anchor"
"מדבקות","5","9","250","0","199","200","raise","0.5","30.80","","anchor"
"מדבקות","9","9","250","0","199","200","raise","0.5","58.80","","anchor"
"מדבקות","3","3","100","1","115","115","same","0.0","2.80","","anchor"
"מדבקות","3","3","250","0","150","150","same","0.0","8.40","","anchor"
"מדבקות","3","3","500","0","210","210","same","0.0","14.00","","anchor"
"מדבקות","4","4","100","1","121","121","same","0.0","5.60","","anchor"
"מדבקות","4","4","200","0","140","140","same","0.0","11.20","","anchor"
"מדבקות","4","4","500","0","220","220","same","0.0","25.20","","anchor"
"מדבקות","5","5","100","1","126","126","same","0.0","11.20","","anchor"
"מדבקות","5","5","500","0","230","230","same","0.0","47.60","","anchor"
"מדבקות","6","6","100","0","137","137","same","0.0","11.20","","anchor"
"מדבקות","6","6","200","0","160","160","same","0.0","22.40","","anchor"
"מדבקות","5","8","100","0","126","126","same","0.0","11.20","","anchor"
"מדבקות","5","8","500","0","230","230","same","0.0","56.00","","anchor"
"מדבקות","5","9","100","0","154","154","same","0.0","14.00","","anchor"
"מדבקות","5","9","500","0","280","280","same","0.0","58.80","","anchor"
"מדבקות","7","7","100","0","148","148","same","0.0","14.00","","anchor"
"מדבקות","7","7","500","0","270","270","same","0.0","58.80","","anchor"
"מדבקות","8","8","100","0","148","148","same","0.0","19.60","","anchor"
"מדבקות","8","8","500","0","270","270","same","0.0","95.20","","anchor"
"מדבקות","9","9","100","1","154","154","same","0.0","25.20","","anchor"
"מדבקות","9","9","500","0","280","280","same","0.0","117.60","","anchor"
"מדבקות","16","6","100","0","187","187","same","0.0","36.40","","anchor"
"מדבקות","10","10","100","0","187","187","same","0.0","36.40","","anchor"
"מדבקות","24","6","100","0","187","187","same","0.0","42.00","","anchor"
"מדבקות","10","15","100","0","187","187","same","0.0","70.00","","anchor"
