action,identifier,name,family,size,qty,current_price_in_system,new_price,reason,priority
תיקון כמות,https://mdvd-print.co.il/כרטיסי-ביקור-10-000-יחי,כרטיסי ביקור 10.000 יחי,כרטיסי ביקור,,0,2320,,"תיקון כמות 10,000 — באג פסיקים (""10.000"")",1
תיקון כמות,https://mdvd-print.co.il/כרטיסי-ביקור-20-000-יחי,כרטיסי ביקור 20.000 יחי,כרטיסי ביקור,,0,4639,,"תיקון כמות 20,000 — באג פסיקים (""20.000"")",1
עדכון מחיר,https://mdvd-print.co.il/הדפסת-מדבקות-בעיצוב-אישי-עם-הלוגו-שלכם-קוטר-10-10-ס-מ,הדפסת מדבקות בעיצוב אישי עם הלוגו שלכם קוטר 10-10 ס''מ 1000 יחידות,מדבקות,10x10,1000,590,480,מדרגת 1000 מאושרת,1
עדכון מחיר,https://mdvd-print.co.il/הדפסת-מדבקות-בעיצוב-אישי-עם-הלוגו-שלכם-קוטר-10-15-ס-מ,הדפסת מדבקות בעיצוב אישי עם הלוגו שלכם קוטר 10-15 ס''מ 1000 יחידות,מדבקות,10x15,1000,590,595,מלבן גדול 1000 מאושר,1
עדכון מחיר,https://mdvd-print.co.il/הדפסת-מדבקות-בעיצוב-אישי-עם-הלוגו-שלכם-קוטר-10-15-ס-מ,הדפסת מדבקות בעיצוב אישי עם הלוגו שלכם קוטר 10-15 ס''מ 500 יחידות,מדבקות,10x15,500,340,375,מלבן גדול 500 מאושר,1
עדכון מחיר,https://mdvd-print.co.il/הדפסת-מדבקות-בעיצוב-אישי-עם-הלוגו-שלכם-קוטר-24-6-ס-מ,הדפסת מדבקות בעיצוב אישי עם הלוגו שלכם קוטר 24-6 ס''מ 1000 יחידות,מדבקות,24x6,1000,590,595,מלבן גדול 1000 מאושר,1
עדכון מחיר,https://mdvd-print.co.il/הדפסת-מדבקות-בעיצוב-אישי-עם-הלוגו-שלכם-קוטר-24-6-ס-מ,הדפסת מדבקות בעיצוב אישי עם הלוגו שלכם קוטר 24-6 ס''מ 500 יחידות,מדבקות,24x6,500,340,375,מלבן גדול 500 מאושר,1
עדכון מחיר,https://mdvd-print.co.il/הדפסת-מדבקות-בעיצוב-אישי-עם-הלוגו-שלכם-500-יחידות-קוטר-7-7-ס-מ-copy-0,הדפסת מדבקות בעיצוב אישי עם הלוגו שלכם קוטר 3-3 ס''מ 1000 יחידות,מדבקות,3x3,1000,315,299,מדרגת 1000 מאושרת,1
עדכון מחיר,https://mdvd-print.co.il/הדפסת-מדבקות-בעיצוב-אישי-עם-הלוגו-שלכם-קוטר-4-4-ס-מ,הדפסת מדבקות בעיצוב אישי עם הלוגו שלכם קוטר 4-4 ס''מ 1000 יחידות,מדבקות,4x4,1000,330,310,מדרגת 1000 מאושרת,1
עדכון מחיר,https://mdvd-print.co.il/הדפסת-מדבקות-בעיצוב-אישי-עם-הלוגו-שלכם-קוטר-9-9-ס-מ-copy-0,הדפסת מדבקות בעיצוב אישי עם הלוגו שלכם קוטר 5-9 ס''מ 100 יחידות,מדבקות,5x9,100,154,126,סולם 5×9 מאושר (דלי 126),1
עדכון מחיר,https://mdvd-print.co.il/הדפסת-מדבקות-בעיצוב-אישי-עם-הלוגו-שלכם-קוטר-9-9-ס-מ-copy-0,הדפסת מדבקות בעיצוב אישי עם הלוגו שלכם קוטר 5-9 ס''מ 1000 יחידות,מדבקות,5x9,1000,420,245,סולם 5×9 מאושר,1
עדכון מחיר,https://mdvd-print.co.il/הדפסת-מדבקות-בעיצוב-אישי-עם-הלוגו-שלכם-קוטר-9-9-ס-מ-copy-0,הדפסת מדבקות בעיצוב אישי עם הלוגו שלכם קוטר 5-9 ס''מ 150 יחידות,מדבקות,5x9,150,163,134,סולם 5×9 מאושר,1
עדכון מחיר,https://mdvd-print.co.il/הדפסת-מדבקות-בעיצוב-אישי-עם-הלוגו-שלכם-קוטר-9-9-ס-מ-copy-0,הדפסת מדבקות בעיצוב אישי עם הלוגו שלכם קוטר 5-9 ס''מ 200 יחידות,מדבקות,5x9,200,179,143,סולם 5×9 מאושר,1
עדכון מחיר,https://mdvd-print.co.il/הדפסת-מדבקות-בעיצוב-אישי-עם-הלוגו-שלכם-קוטר-9-9-ס-מ-copy-0,הדפסת מדבקות בעיצוב אישי עם הלוגו שלכם קוטר 5-9 ס''מ 250 יחידות,מדבקות,5x9,250,199,157,סולם 5×9 מאושר,1
עדכון מחיר,https://mdvd-print.co.il/הדפסת-מדבקות-בעיצוב-אישי-עם-הלוגו-שלכם-קוטר-9-9-ס-מ-copy-0,הדפסת מדבקות בעיצוב אישי עם הלוגו שלכם קוטר 5-9 ס''מ 500 יחידות,מדבקות,5x9,500,280,174,סולם 5×9 מאושר,1
עדכון מחיר,https://mdvd-print.co.il/הדפסת-מדבקות-בעיצוב-אישי-עם-הלוגו-שלכם-קוטר-6-6-ס-מ,הדפסת מדבקות בעיצוב אישי עם הלוגו שלכם קוטר 6-6 ס''מ 1000 יחידות,מדבקות,6x6,1000,485,370,מדרגת 1000 מאושרת,1
עדכון מחיר,https://mdvd-print.co.il/הדפסת-מדבקות-בעיצוב-אישי-עם-הלוגו-שלכם-קוטר-6-6-ס-מ,הדפסת מדבקות בעיצוב אישי עם הלוגו שלכם קוטר 6-6 ס''מ 500 יחידות,מדבקות,6x6,500,270,249,תיקון נתונים מאושר 6×6×500,1
עדכון מחיר,https://mdvd-print.co.il/הדפסת-מדבקות-בעיצוב-אישי-עם-הלוגו-שלכם-קוטר-7-7-ס-מ,הדפסת מדבקות בעיצוב אישי עם הלוגו שלכם קוטר 7-7 ס''מ 1000 יחידות,מדבקות,7x7,1000,495,395,מדרגת 1000 מאושרת,1
עדכון מחיר,https://mdvd-print.co.il/הדפסת-מדבקות-בעיצוב-אישי-עם-הלוגו-שלכם-קוטר-8-8-ס-מ,הדפסת מדבקות בעיצוב אישי עם הלוגו שלכם קוטר 8-8 ס''מ 1000 יחידות,מדבקות,8x8,1000,495,395,מדרגת 1000 מאושרת,1
עדכון מחיר,https://mdvd-print.co.il/הדפסת-מדבקות-בעיצוב-אישי-עם-הלוגו-שלכם-קוטר-9-9-ס-מ,הדפסת מדבקות בעיצוב אישי עם הלוגו שלכם קוטר 9-9 ס''מ 1000 יחידות,מדבקות,9x9,1000,505,420,תיקון נתונים מאושר 9×9×1000,1
עדכון מחיר,https://mdvd-print.co.il/פליירים-15-21-דו-או-חד-צדדי-200-יחי,פליירים 15/21 דו או חד צדדי 200 יחי,פליירים,21x15,200,232,125,ספק: 351 → ₪125 (עקומת A5 מאושרת),1
עדכון מחיר,https://mdvd-print.co.il/פליירים-15-21-דו-או-חד-צדדי-300-יחי,פליירים 15/21 דו או חד צדדי 300 יחי,פליירים,21x15,300,348,170,ספק: 417 → ₪170 (עקומת A5 מאושרת),1
מחיקה,https://mdvd-print.co.il/פליירים-15-21-דו-או-חד-צדדי-400-יחי,פליירים 15/21 דו או חד צדדי 400 יחי,פליירים,21x15,400,232,,המפרט מוחק את מק״ט 400 היחידות,1
עדכון מחיר,https://mdvd-print.co.il/הדפסה-על-זכוכית-100-70,הדפסת תמונות על זכוכית בעיצוב אישי 100/70,זכוכית,100x70,1,800,675,יעד מאושר 650–700,2
עדכון מחיר,https://mdvd-print.co.il/הדפסה-על-זכוכית-120-80,הדפסת תמונות על זכוכית בעיצוב אישי 120/80,זכוכית,120x80,1,850,1035,"שיא השוק — ₪1,035 מאושר",2
עדכון מחיר,https://mdvd-print.co.il/הזמנת-עבודה-a5-עשר-פנקסים-מקור-2-העתקים,הזמנת עבודה A5 עשר פנקסים מקור + 2 העתקים,חשבוניות,14.8x21,10,280,320,מחיר מבנה אחיד A5×10 = ₪320,2
הוספה,,הצעות מחיר A5 עשר פנקסים מקור + 2 העתקים,חשבוניות,14.8x21,10,,320,מוצר חדש מאושר — הצעות מחיר A5 × 10 פנקסים,2
עדכון מחיר,https://mdvd-print.co.il/שלטים-למתווכים-וסוכני-נדל-ן-הדפסה-על-פוליגל-120x80-ס-מ-1-1,"הדפסה על פוליגל 120X80 ס""מ",פוליגל,120x80,1,70,85,סולם מאושר (ביטול ₪70),2
עדכון מחיר,https://mdvd-print.co.il/הדפסה-על-קנבס-30-30,הדפסה על קנבס 30/30,קנבס,30x30,1,99,95,הוזלה מאושרת (סולם קנבס),2
עדכון מחיר,https://mdvd-print.co.il/הדפסה-על-קנבס-30-45,הדפסה על קנבס 30/45,קנבס,45x30,1,105,110,העלאה מאושרת (סולם קנבס),2
עדכון מחיר,https://mdvd-print.co.il/%D7%94%D7%93%D7%A4%D7%A1%D7%94-%D7%A2%D7%9C-%D7%A7%D7%A0%D7%91%D7%A1-50-30/?from_admin,הדפסה על קנבס 50/30,קנבס,50x30,1,110,115,העלאה מאושרת (סולם קנבס),2
עדכון מחיר,https://mdvd-print.co.il/הדפסה-על-קנבס-60-60-copy-0,הדפסה על קנבס 60/180,קנבס,180x60,1,425,365,הוזלה מאושרת (סולם קנבס),2
עדכון מחיר,https://mdvd-print.co.il/הדפסה-על-קנבס-70-100,הדפסה על קנבס 70/100,קנבס,100x70,1,215,245,איחוד 100/70+70/100 = ₪245,2
עדכון מחיר,https://mdvd-print.co.il/הדפסה-על-קנבס-80-120,הדפסה על קנבס 80/120,קנבס,120x80,1,240,255,העלאה מאושרת (סולם קנבס),2
עדכון מחיר,https://mdvd-print.co.il/הדפסה-על-קנבס-90-120,הדפסה על קנבס 90/120,קנבס,120x90,1,261,280,העלאה מאושרת (סולם קנבס),2
עדכון מחיר,https://mdvd-print.co.il/הדפסה-על-קנבס-90-90,הדפסה על קנבס 90/90,קנבס,90x90,1,225,230,העלאה מאושרת (סולם קנבס),2
עדכון מחיר,https://mdvd-print.co.il/הדפסה-על-זכוכית-20-30,הדפסת תמונות על זכוכית בעיצוב אישי 20/30,זכוכית,30x20,1,130,160,נשמר,3
עדכון מחיר,https://mdvd-print.co.il/הדפסה-על-ספל-כוסות,הדפסה על ספל כוסות,כוסות,,1,70,52,יעד כיווני: 70 → 49–55,3
עדכון מחיר,https://mdvd-print.co.il/כרטיס-ביקור-בעיצוב-אישי-1000-יחידות,כרטיס ביקור 1000 יחי,כרטיסי ביקור,,1000,276,210,יעד כיווני: 276 → ~210,3
עדכון מחיר,https://mdvd-print.co.il/כרטיסי-ביקור-5000-יחי,כרטיסי ביקור 5000 יחי,כרטיסי ביקור,,5000,1102,850,יעד כיווני: ~850,3
עדכון מחיר,https://mdvd-print.co.il/הדפסה-על-מגנט-1000-יחי-10-10,הדפסה על מגנט 1000 יחי 10/10,מגנטים,10x10,1000,920,650,יעד כיווני: 920 → 600–700,3
עדכון מחיר,https://mdvd-print.co.il/הדפסת-לוחש-שנה-מגנט-10-10-ספירלה-1000-יחידות,הדפסת לוח שנה מגנט 10/10 ספירלה. 1000 יחידות,מגנטים,10x10,1000,2400,650,יעד כיווני: 920 → 600–700,3
עדכון מחיר,https://mdvd-print.co.il/פליירים-10-15-דו-או-חד-צדדי-1000-יחי,פליירים 10/15 דו או חד צדדי 1000 יחי,פליירים,15x10,1000,348,330,בסיס 10/15 מאושר,3
עדכון מחיר,https://mdvd-print.co.il/פליירים-15-21-דו-או-חד-צדדי-1000-יחי,פליירים 15/21 דו או חד צדדי 1000 יחי,פליירים,21x15,1000,418,395,עקומת A5 מאושרת,3
עדכון מחיר,https://mdvd-print.co.il/פליירים-15-21-דו-או-חד-צדדי-2000-יחי,פליירים 15/21 דו או חד צדדי 2000 יחי,פליירים,21x15,2000,500,475,עקומת A5 מאושרת,3
עדכון מחיר,https://mdvd-print.co.il/פליירים-15-21-דו-או-חד-צדדי-3000-יחי,פליירים 15/21 דו או חד צדדי 3000 יחי,פליירים,21x15,3000,650,535,עקומת A5 מאושרת,3
עדכון מחיר,https://mdvd-print.co.il/פליירים-15-21-דו-או-חד-צדדי-5000-יחי,פליירים 15/21 דו או חד צדדי 5000 יחי,פליירים,21x15,5000,780,600,עקומת A5 מאושרת,3
עדכון מחיר,https://mdvd-print.co.il/שלט-לדלת-בעיצוב-אישי-שלטים-מעוצבים-לבית-ולעסק,"שלט לדלת בעיצוב אישי שלט PVC בגודל 20/30 ס""מ",שלטי PVC,30x20,1,35,30,סולם מאושר,3
עדכון מחיר,https://mdvd-print.co.il/שילוט-אסור-לעשן,"שלט PVC בגודל 20/30 ס""מ שילוט אסור לעשן",שלטי PVC,30x20,1,35,30,סולם מאושר,3
עדכון מחיר,https://mdvd-print.co.il/%D7%A9%D7%9C%D7%98-pvc-%D7%91%D7%92%D7%95%D7%93%D7%9C-20-30-%D7%A1-%D7%9E-%D7%A9%D7%99%D7%9C%D7%95%D7%98-%D7%94%D7%9E%D7%A7%D7%95%D7%9D-%D7%9E%D7%A6%D7%95%D7%9C%D7%9D/,"שלט PVC בגודל 20/30 ס""מ שילוט המקום מצולם",שלטי PVC,30x20,1,35,30,סולם מאושר,3
עדכון מחיר,https://mdvd-print.co.il/שילוט-לנכים,"שלט PVC בגודל 20/30 ס""מ שילוט לנכים",שלטי PVC,30x20,1,35,30,סולם מאושר,3
עדכון מחיר,https://mdvd-print.co.il/שלטי-חניה,"שלט PVC בגודל 20/30 ס""מ שלטי חניה",שלטי PVC,30x20,1,35,30,סולם מאושר,3
עדכון מחיר,https://mdvd-print.co.il/שלטי-כיבוי-אש,"שלט PVC בגודל 20/30 ס""מ שלטי כיבוי אש",שלטי PVC,30x20,1,35,30,סולם מאושר,3
עדכון מחיר,https://mdvd-print.co.il/שלטי-כלבים,"שלט PVC בגודל 20/30 ס""מ שלטי כלבים",שלטי PVC,30x20,1,35,30,סולם מאושר,3
עדכון מחיר,https://mdvd-print.co.il/שלטים-לאתרי-בניין-קבלנים,"שלט PVC בגודל 20/30 ס""מ שלטים לאתרי בניין/קבלנים",שלטי PVC,30x20,1,35,30,סולם מאושר,3
עדכון מחיר,https://mdvd-print.co.il/הדפסה-על-שמשונית-60-40-ס-מ,"הדפסה על שמשונית 60/40 ס""מ",שמשונית,60x40,1,70,65,מינימום עד 1 מ״ר,3
